date,infectious,recoveredCumulative
2020-03-16,0.0005437775997166085,1.7704386967517483e-05
2020-03-17,0.0008573981688554895,4.0467170211468534e-05
2020-03-18,0.0011153763789536013,8.852193483758742e-05
2020-03-19,0.0017906722818574825,0.0001542810864312238
2020-03-20,0.0021371724267931816,0.00020233585105734265
2020-03-21,0.0025494317233225178,0.0002630366063745455
2020-03-22,0.003088150926762692,0.00036673373004143356
2020-03-23,0.003482705836324511,0.00036673373004143356
2020-03-24,0.004021425039764686,0.000490664438814056
2020-03-25,0.004309753627521399,0.000594361562480944
2020-03-26,0.005146918211271154,0.0006980586861478322
2020-03-27,0.006975528465201889,0.0010597340199128321
2020-03-28,0.008313474280318566,0.0013784129853281468
2020-03-29,0.010309011611371608,0.002157406011898916
2020-03-30,0.011654545020902938,0.0025039061568346154
2020-03-31,0.013321286593987798,0.003040096162136573
2020-04-01,0.014370903821347763,0.0036825124892436367
2020-04-02,0.01529406114179689,0.004180764522472343
2020-04-03,0.01685204719493843,0.005081159059677518
2020-04-04,0.018230460180266576,0.005688166612849545
2020-04-05,0.019054978773325244,0.007304324223170071
2020-04-06,0.01942171250336668,0.009479434622036504
2020-04-07,0.020643315204125386,0.01135357044245514
2020-04-08,0.02157658931712738,0.013991524100615245
2020-04-09,0.02233029036231598,0.01583530954337528
2020-04-10,0.0214147206362815,0.018402445653665316
2020-04-11,0.02088105982911776,0.02005907043419731
2020-04-12,0.02029428586105147,0.022598385364966958
2020-04-13,0.019393891323846293,0.02633148181697493
2020-04-14,0.017929485601818777,0.029584030622721715
2020-04-15,0.01792695640368056,0.03304650287394049
2020-04-16,0.018905756083170456,0.035257022046741957
2020-04-17,0.019252256228106154,0.0390457608577907
2020-04-18,0.019942727319839336,0.04163565975132469
2020-04-19,0.02029428586105147,0.044928675727282937
2020-04-20,0.020509267702799896,0.047746202453256434
2020-04-21,0.02380734207503458,0.05046509045183948
2020-04-22,0.026402299364845002,0.05334078873499196
2020-04-23,0.026829733850203638,0.05465091337058826
2020-04-24,0.028198030042978914,0.056975246459609476
2020-04-25,0.0293260524126236,0.059562616155005244
2020-04-26,0.02854705938605283,0.0638344318104534
2020-04-27,0.030196096572170174,0.06699845868136259
2020-04-28,0.02840036589403626,0.07040781777167882
2020-04-29,0.026736153519089614,0.07363507459604343
2020-04-30,0.027909701455222202,0.07516018107338815
2020-05-01,0.027004248521740593,0.08078258853464405
2020-05-02,0.026657748376804895,0.08596491551985025
2020-05-03,0.027687132019059126,0.09066416566065703
2020-05-04,0.02775542036879098,0.0951964887243415
2020-05-05,0.02699413172918773,0.09973387018430242
2020-05-06,0.029819246049575872,0.10218213398209626
2020-05-07,0.028263789194572553,0.10535627764555833
2020-05-08,0.029232472081509583,0.10918295442868033
2020-05-09,0.0299887023248364,0.11270106903893985
2020-05-10,0.031700969464409166,0.11857386711587924
2020-05-11,0.031579567953774756,0.1222007372460821
2020-05-12,0.031969064467060146,0.1263916185611073
2020-05-13,0.029854654823510914,0.1298692660011554
2020-05-14,0.03040602001764217,0.1331116980143493
2020-05-15,0.03009998704291794,0.13617708615786803
2020-05-16,0.029606793405965667,0.14252031508851573
2020-05-17,0.029447453923258007,0.1468376563104518
2020-05-18,0.030246680534934508,0.1514332093275917
2020-05-19,0.03016321699637336,0.1563803208859437
2020-05-20,0.031397465687823145,0.16157023546556454
2020-05-21,0.03167314828488878,0.16469126596812406
2020-05-22,0.03284416702288315,0.1681461506249282
2020-05-23,0.033724327974982586,0.17237496991202667
2020-05-24,0.03378502873029979,0.17724367632809396
2020-05-25,0.03448561661458584,0.18153319637050963
2020-05-26,0.03656714668233826,0.18598711429190937
2020-05-27,0.03661014305068794,0.19101768938882255
2020-05-28,0.038112486744788704,0.19493794650305857
2020-05-29,0.03794808886580461,0.19830936762130152
2020-05-30,0.03995880138568696,0.20377243559984978
2020-05-31,0.0440940403416714,0.20891682461298272
2020-06-01,0.04550533290279636,0.21437736339339278
2020-06-02,0.04579113229241486,0.219711442266892
2020-06-03,0.04610728205969196,0.22480271811912236
2020-06-04,0.04466816831904661,0.2294235631176444
2020-06-05,0.04703802697455573,0.2348765143036398
2020-06-06,0.04738452711949144,0.24038257865053775
2020-06-07,0.045060194030470214,0.24702931135777143
2020-06-08,0.045300467853600805,0.2523254522591974
2020-06-09,0.044938792519835805,0.2596702436525789
2020-06-10,0.04575066512220339,0.26889675846079375
2020-06-11,0.048092702598192136,0.27492889602044074
2020-06-12,0.04710378612614937,0.2806676465960547
2020-06-13,0.04855301665934759,0.2864898607102297
2020-06-14,0.04958745869787825,0.2916974796768181
2020-06-15,0.049817615728455986,0.2993634792337531
2020-06-16,0.049691155821545145,0.30705477077207033
2020-06-17,0.05157540843451665,0.31395695249126393
2020-06-18,0.05414760294108311,0.32022936387404155
2020-06-19,0.058212024349197485,0.3256064391158905
2020-06-20,0.058755801948914096,0.3322405258324331
2020-06-21,0.062058934717425206,0.3397901822750102
2020-06-22,0.06620429046596252,0.3464672653599025
2020-06-23,0.07348332270775042,0.35560778743141797
2020-06-24,0.0829147025651608,0.3635444111891422
2020-06-25,0.08606608344537893,0.37004697960249755
2020-06-26,0.08749255119533318,0.3752975949374356
2020-06-27,0.09276087091723874,0.3838159342669497
2020-06-28,0.09360309389726493,0.3939377852160933
2020-06-29,0.10313311248206576,0.4046792897091
2020-06-30,0.11446897853755339,0.414363589380332
2020-07-01,0.11497481816519675,0.42560334590656745
2020-07-02,0.11772405654143839,0.43625127006846004
2020-07-03,0.11968924349483284,0.4487809176451861
